epoch,train_loss,val_loss,lr
1,1.6143907830119133,0.555862670764327,0.00017199999999999998
2,0.8561545274285383,0.5182165202374259,0.00034399999999999996
3,0.833610568802024,0.50513289278994,0.0004999951863080734
4,0.8125778654980105,0.5012746912737688,0.0004993357019288791
5,0.7940700754176738,0.43692696560174227,0.0004975670171853926
6,0.784649207668249,0.4760115823398034,0.000494697000288009
7,0.7850300595164299,0.4926270379995306,0.0004907384188579053
8,0.7650018521519595,0.47180079265187186,0.00048570888312871583
9,0.762391039798426,0.4666118435561657,0.00047963076760525414
10,0.7462978550167971,0.4587288508191705,0.00047253111152779237
11,0.7350415757229162,0.4573327489197254,0.0004644414985846934
12,0.7269136195265969,0.46637209101269644,0.00045539791640851067
13,0.7093049428144167,0.4541266706461708,0.0004454405964806033
14,0.7086928135087324,0.4579968638718128,0.00043461383515647103
15,0.6897982906463535,0.4562693927437067,0.00042296579660799894
