epoch,train_loss,val_loss,lr
1,3.470400015975154,2.186060572663943,0.00017199999999999998
2,2.1956328160541,2.0372246901194253,0.00034399999999999996
3,2.122069243774858,1.9909128199021022,0.0004999951863080734
4,2.0770306469396105,1.9422694792350133,0.0004993357019288791
5,2.042335721642472,1.9477654447158177,0.0004975670171853926
6,2.007458790790203,1.8829018870989482,0.000494697000288009
7,1.9846542463746182,1.8854616930087407,0.0004907384188579053
8,1.956311013116393,1.9399063140153885,0.00048570888312871583
9,1.932998232370199,1.9142616937557857,0.00047963076760525414
10,1.9234555696332178,1.9635737041632335,0.00047253111152779237
11,1.9107745040294737,2.036329632004102,0.0004644414985846934
12,1.8907315862733265,2.0136436273654303,0.00045539791640851067
13,1.8760969098224196,2.113895962635676,0.0004454405964806033
14,1.8426718289075896,2.026788497964541,0.00043461383515647103
15,1.825618988552759,2.0463038285573325,0.00042296579660799894
16,1.8123383646787599,2.136373112599055,0.00041054829855924894
