epoch,train_loss,val_loss,lr
1,5.669910257512873,4.160810192426045,4.4e-05
2,3.2162674502892927,2.6057719786961875,8.8e-05
3,2.3046875921162693,2.1441048781077066,0.000132
4,2.008368093859066,2.16733584801356,0.000176
5,1.9059588611125946,1.9710217515627544,0.00022
6,1.8392433551224796,1.912406067053477,0.000264
7,1.779680834575133,1.8770688970883687,0.000308
8,1.8099952746521344,1.8144286076227825,0.000352
9,1.7371314438906582,1.8630770842234294,0.00039600000000000003
10,1.7170821265740828,1.9111597140630086,0.00044
11,1.6692039533094927,1.7685673832893372,0.000484
12,1.6159996363249691,1.8363353411356609,0.000499665396039775
13,1.6048539009961216,1.865866978963216,0.0004977902858766793
14,1.5808820534836163,1.9380602439244587,0.0004942777853241896
15,1.531105469573628,2.005304296811422,0.0004891511048751102
16,1.4599669602784244,2.090480367342631,0.00048244412147206283
17,1.4438406039368024,1.9570207198460896,0.00047420115464971827
18,1.4362385002049534,2.137708087762197,0.00046447667367270965
19,1.3755669702183118,2.1804078618685403,0.00045333493760445144
20,1.3435737057165666,2.1199535131454468,0.0004408495706852758
21,1.312023555690592,2.176670034726461,0.0004271030758257756
