feature_name,source,original_resolution,aggregation_method,lag_applied,transform,pct_missing,missingness_informative,distribution_type,correlated_with,known_issues,status
wheat_close,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,normal-ish,wheat_mean(0.99),redundant (r>0.9 with wheat_mean),drop
wheat_pct_chg,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,heavy-tailed,,,keep
copper_mean,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,normal-ish,copper_close(0.99),,keep
copper_vol,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw (bounded),0.0,False,bounded,,,keep
copper_close,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,normal-ish,copper_mean(0.99),redundant (r>0.9 with copper_mean),drop
copper_pct_chg,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,heavy-tailed,,,keep
us_13w_tbill_mean,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,normal-ish,us_13w_tbill_close(1.00),,keep
us_13w_tbill_vol,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw (bounded),0.0,False,bounded,,,keep
us_13w_tbill_close,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,normal-ish,us_13w_tbill_mean(1.00),redundant (r>0.9 with us_13w_tbill_mean),drop
us_13w_tbill_pct_chg,Yahoo Finance,daily (agg to monthly),none (already monthly),t-1,raw,0.0,False,heavy-tailed,,,keep
