Month ID,Date,Model,CRPS,ab-Log Score,MIS
544,Apr 2025,Brandt_TW_GLMM,22.24,0.9,375.2
545,May 2025,Brandt_TW_GLMM,11.28,1.253,175.1
546,Jun 2025,Brandt_TW_GLMM,18.36,0.844,302.2
535,Jul 2024,Bodentien_Rueter_NB,16.46,0.649,195.0
536,Aug 2024,Bodentien_Rueter_NB,12.4,0.522,187.8
537,Sep 2024,Bodentien_Rueter_NB,19.36,0.648,310.4
538,Oct 2024,Bodentien_Rueter_NB,36.24,0.715,730.5
539,Nov 2024,Bodentien_Rueter_NB,39.0,0.787,782.2
540,Dec 2024,Bodentien_Rueter_NB,23.01,0.569,331.4
541,Jan 2025,Bodentien_Rueter_NB,36.5,0.836,594.0
542,Feb 2025,Bodentien_Rueter_NB,52.93,0.839,835.1
543,Mar 2025,Bodentien_Rueter_NB,19.6,0.746,292.1
544,Apr 2025,Bodentien_Rueter_NB,24.25,0.758,486.9
545,May 2025,Bodentien_Rueter_NB,21.83,0.961,397.0
546,Jun 2025,Bodentien_Rueter_NB,25.07,0.678,483.1
535,Jul 2024,VIEWS_bm_conflictology_bootstrap240,52.14,1.352,1016.5
536,Aug 2024,VIEWS_bm_conflictology_bootstrap240,42.82,1.222,834.2
537,Sep 2024,VIEWS_bm_conflictology_bootstrap240,50.37,1.229,982.0
538,Oct 2024,VIEWS_bm_conflictology_bootstrap240,61.74,1.235,1198.3
539,Nov 2024,VIEWS_bm_conflictology_bootstrap240,60.51,1.313,1185.3
540,Dec 2024,VIEWS_bm_conflictology_bootstrap240,57.72,1.207,1125.9
541,Jan 2025,VIEWS_bm_conflictology_bootstrap240,62.64,1.381,1220.4
542,Feb 2025,VIEWS_bm_conflictology_bootstrap240,71.21,1.316,1393.1
543,Mar 2025,VIEWS_bm_conflictology_bootstrap240,50.59,1.348,985.7
544,Apr 2025,VIEWS_bm_conflictology_bootstrap240,49.58,1.301,953.6
545,May 2025,VIEWS_bm_conflictology_bootstrap240,43.43,1.417,830.5
546,Jun 2025,VIEWS_bm_conflictology_bootstrap240,51.68,1.255,1010.8
535,Jul 2024,ConflictForecast,15.89,0.684,165.7
536,Aug 2024,ConflictForecast,17.17,0.552,165.1
537,Sep 2024,ConflictForecast,20.71,0.62,274.7
538,Oct 2024,ConflictForecast,30.66,0.686,468.3
539,Nov 2024,ConflictForecast,35.0,0.769,507.6
540,Dec 2024,ConflictForecast,23.67,0.539,270.3
541,Jan 2025,ConflictForecast,38.11,0.833,538.4
542,Feb 2025,ConflictForecast,54.27,0.857,754.3
543,Mar 2025,ConflictForecast,16.66,0.641,139.9
544,Apr 2025,ConflictForecast,20.93,0.669,261.6
545,May 2025,ConflictForecast,17.56,0.79,171.0
546,Jun 2025,ConflictForecast,20.89,0.687,239.1
535,Jul 2024,VIEWS_bm_ph_conflictology_country12,15.94,0.748,212.2
536,Aug 2024,VIEWS_bm_ph_conflictology_country12,13.32,0.56,173.8
537,Sep 2024,VIEWS_bm_ph_conflictology_country12,20.32,0.624,288.6
538,Oct 2024,VIEWS_bm_ph_conflictology_country12,29.9,0.707,494.7
539,Nov 2024,VIEWS_bm_ph_conflictology_country12,32.92,0.804,549.4
540,Dec 2024,VIEWS_bm_ph_conflictology_country12,23.72,0.581,333.2
