country_iso3,year_month,acled_event_count,acled_fatalities,acled_peak_fatalities,acled_battle_count,acled_explosion_count,acled_violence_count,acled_protest_count,acled_riot_count
AGO,1985-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1985-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1986-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1987-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1988-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1989-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1990-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1990-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
