country_iso3,year_month,food_price_anomaly,food_price_anomaly_log,food_cpi_acceleration,food_price_spike
AFG,2010-01,0.961022809767246,-0.039757134843738204,,0
AFG,2010-02,0.9654153788333221,-0.035196825870897966,0.04622965433681614,0
AFG,2010-03,0.9681091975489108,-0.032410390682596234,0.05414563479562218,0
AFG,2010-04,0.9745804763276146,-0.025748181271214723,0.04178276678794557,0
AFG,2010-05,0.983889783805635,-0.01624139653089155,0.0150473386514689,0
AFG,2010-06,0.9945649184572991,-0.005449905335134244,0.024298315483067046,0
AFG,2010-07,1.0128095127824561,0.012728164921382236,0.015541898132801046,0
AFG,2010-08,1.0216008772544047,0.021370884442171424,0.014852992043510094,0
AFG,2010-09,1.0514496505527653,0.05016983156458718,0.00720137287071565,0
AFG,2010-10,1.062295745822151,0.06043236410989543,0.013037769271555755,0
AFG,2010-11,1.0680546073030877,0.06583886966448971,0.04157269452921386,0
AFG,2010-12,1.0942843901642765,0.09010062466380903,0.025497701655817107,0
AFG,2011-01,1.0875113158998577,0.08389188935172257,0.02598469111323287,0
AFG,2011-02,1.08611274433139,0.08260503226630561,-0.00039572855583314137,0
AFG,2011-03,1.0636815696795172,0.061736069510273744,-0.015945181032969158,0
AFG,2011-04,1.0385215267056827,0.03779809277175352,-0.0007858035995416124,0
AFG,2011-05,1.0343179500655582,0.03374222404708169,-0.004082352389989552,0
AFG,2011-06,1.030100557671632,0.02965642628357225,-0.02266894223336169,0
AFG,2011-07,1.0202273218084998,0.020025466983709266,0.004927021489889327,0
AFG,2011-08,1.026731460970696,0.026380417661030293,-0.022029956027954434,0
AFG,2011-09,1.031820354730765,0.031324577033291945,-0.0283818412890815,0
AFG,2011-10,1.0143020750527771,0.01420076519558794,0.018571067384638207,0
AFG,2011-11,1.0360007580351944,0.03536787553122674,-0.027176005957125993,0
AFG,2011-12,1.038878335187528,0.038141607269755635,0.0030114045402718226,0
AFG,2012-01,1.0410880472579451,0.04026636555469409,-0.00753820014828821,0
AFG,2012-02,1.0405301193398127,0.03973031341944154,-0.0009183855874805857,0
AFG,2012-03,1.0260644918318622,0.025730602309053743,0.01895952447022209,0
AFG,2012-04,1.0249315687015446,0.02462584811927825,0.004238429087711104,0
AFG,2012-05,1.0294649845174582,0.029039234782423137,-0.001956225960690894,0
AFG,2012-06,1.0278657027622757,0.027484519162604356,-0.017816294112469544,0
AFG,2012-07,1.0052767993171432,0.005262925795418732,-0.028234026070856233,0
AFG,2012-08,0.9912996922562918,-0.008738376387909481,-0.0022906583160315908,0
AFG,2012-09,0.9993996586550782,-0.0006005216219424724,0.01095161360768282,0
AFG,2012-10,0.9953043880347546,-0.004706670983930328,-0.01345001414468694,0
AFG,2012-11,1.0083350458868594,0.008300501213443959,0.023755368986219105,0
AFG,2012-12,1.035584353095003,0.03496585975735169,0.00022595501330791024,0
AFG,2013-01,1.0391685203885506,0.03842089375661247,0.005265056500175946,0
AFG,2013-02,1.0439326052765008,0.042994933043872696,0.012735821492612098,0
AFG,2013-03,1.0408299810771298,0.04001845360174993,-0.011587023040976696,0
