country_iso3,year_month,fx_pct_change,fx_volatility,fx_volatility_log,fx_depreciation_flag,fx_pct_change_zscore
AFG,2010-01,,,,0,
AFG,2010-02,-0.019830613509605355,,,0,
AFG,2010-03,0.010958904109588996,0.02177147669799501,0.02153786276470444,0,
AFG,2010-04,0.0020846362309776545,0.015848371087676255,0.015724096963298944,0,
AFG,2010-05,-0.028500104014978156,0.02070101562914486,0.020489661458803436,0,
AFG,2010-06,-0.007066381156317081,0.01569804621981692,0.015576106381490897,0,
AFG,2010-07,-0.020056070735389286,0.010796899315462065,0.010739028972252618,0,-0.6413626900858256
AFG,2010-08,0.012103873239436735,0.01617865201133129,0.016049172292326642,0,1.1936227672602664
AFG,2010-09,-0.010002174385736029,0.016452052404284427,0.016318183671528954,0,-0.164295170468875
AFG,2010-10,-0.009286184933011254,0.012561346604587744,0.012483107402202352,0,-0.11065587609363227
AFG,2010-11,0.0023596313589935303,0.0069396435940419585,0.006915675092118702,0,0.6671139267236804
AFG,2010-12,-0.0007727914468431685,0.006026538232296364,0.006008451282183512,0,0.414827999086359
AFG,2011-01,0.005225167508275508,0.002999968935524039,0.002995478008236722,0,0.8129773137464318
AFG,2011-02,-0.0026196863329855935,0.004101387247799943,0.0040929994856075584,0,0.19545733382274824
AFG,2011-03,-0.00020140518850664257,0.004017410167382971,0.004009361923353752,0,0.3761435112326455
AFG,2011-04,0.00877574508518042,0.006004070396214925,0.005986117788859882,0,1.046758911044205
AFG,2011-05,0.003162600297070828,0.004535290405175033,0.00452503696550793,0,0.555768451811332
AFG,2011-06,0.013578824677437762,0.005213359414747058,0.005199816904144962,0,1.320026340116097
AFG,2011-07,0.0240411093535009,0.010439262996052993,0.010385150163026968,0,1.879873849840035
AFG,2011-08,-0.00697598300588631,0.0157798370184453,0.015656629826365617,0,-0.4446246348938191
AFG,2011-09,0.007075798164690061,0.015531335831310574,0.01541195910166736,0,0.617295558698892
AFG,2011-10,0.010142947235652677,0.009127958242892626,0.009086550221764533,0,0.823113387312835
AFG,2011-11,-0.0006872965150511723,0.005582222110262071,0.00556669924966191,0,-0.03175771557615995
AFG,2011-12,0.011214748402512686,0.006584092074344154,0.00656251161349174,0,0.8946403354485534
AFG,2012-01,0.017068248280406983,0.009047849698719732,0.00900716313972764,0,1.29096651398164
AFG,2012-02,-0.0005426551224213538,0.008968871325612731,0.008928889880319526,0,-0.1136170043232404
AFG,2012-03,0.000607779578606138,0.00985236391725393,0.009804145829305583,0,-0.019395042518907293
AFG,2012-04,0.009313626240129658,0.0053892106471025054,0.005374740815436327,0,0.6862541734626151
AFG,2012-05,0.003610832497492389,0.0044221403075632455,0.004412391375311137,0,0.20285342097138165
AFG,2012-06,0.0085948430941436,0.003105877957184487,0.0031010646819637205,0,0.6148010892762668
AFG,2012-07,0.02179944510503362,0.009398825320935403,0.00935493118343836,0,1.6443036615975113
AFG,2012-08,-0.0019394879751746252,0.01189447062805941,0.01182428739242704,0,-0.33841867351605476
AFG,2012-09,0.004663816556548905,0.012252689094486763,0.012178232478332917,0,0.21956445654739207
AFG,2012-10,0.011605415860734825,0.006773155979829349,0.006750321209849909,0,0.7987173987535432
AFG,2012-11,0.023518164435946565,0.009535773115602018,0.009490594612043435,0,1.7214309212439094
AFG,2012-12,-0.028021670091537443,0.02698324808347275,0.026625619307518326,0,-2.34807135158057
